number,F_C,code_LWJ,last name,last name1,first name,name,string,line,sex,son-in-law,Gov._Exam,Grade,occupational_title,grade2,New_Grade,place of family origin,Final_place of family origin,Final_period,Birth_Year,Death_Year,Date_OT,father,grand_f,great_grand_f,great_great_grand_f,father_of_m,grand_father_of_mother,great_grand_father_of_mother,spouse1_familyname,spouse1_place of family origin,son_by_spouse1,daughter_by_spouse1,father_spouse1,grand_father_spouse1,great_grand_father_spouse1,father_of_mother_spouse1,grand_of_mother_spouse1,great_grand_father_of_mother_spouse1,spouse2_familyname,spouse2_place of family origin,son_by_spouse2,daughter_by_spouse2,father_spouse2,grand_father_spouse2,great_grand_father_spouse2,father_of_mother_spouse2,grand_mother_spouse2,great_grand_mother_spouse2,spouse3_familyname,spouse3_place of family origin,son_by_spouse3,daughter_by_spouse3,father_spouse3,grand_father_spouse3,great_grand_father_spouse3,mother_spouse3,grand_mother_spouse3,great_grand_mother_spouse3,spouse4_familyname,spouse4_place of family origin,son_by_spouse4,daughter_by_spouse4,father_spouse4,grand_father_spouse4,great_grand_father_spouse4,mother_spouse4,grand_mother_spouse4,great_grand_mother_spouse4,note,1g,2g,3g,4g,5g,6g,7g,8g,9g,10g,11g,12g,13g,14g,15g,16g,17g,18g,19g,20g,21g,22g,line,sex,son-in-law,period,generation,duplicates,q,last,When Last,q,q
1151,1133,291,조,13,원수,원수,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 2 1,1,0,0,,8,첨지,3,,백천,백천,13,,,,조서로,조반,,,정홍,정사도,,김,해평,,4,김문상,,,이희경,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,2,1,,,,1,0,0,14,19,,40,,20,1,0
1152,1134,292,강,21,지한,강지한,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 2 1 1,1,1,1,,7,호군,4,,,,14,,,,,,,,,,,조,백천,,,조원수,조서로,조반,김문상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,2,1,1,,,1,1,1,15,20,,42,1,20,1,0
1153,1135,293,홍,19,현정,홍현정,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 2 1 2,1,1,1,,0,시정,3,,남양,남양,14,,,,홍이용,홍여방,홍길민,,,,,조,백천,,,조원수,조서로,조반,김문상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,2,1,2,,,1,1,1,15,20,,42,1,20,0,0
1154,1136,294,이,4,인석,이인석,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 2 1 3,0,1,1,문과,5,좌랑,6,,전의,전의,14,,,1466,이삼기,이좌,,,임,,,조,백천,2,1,조원수,조서로,조반,김문상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,2,1,3,,,1,1,1,15,20,,42,1,20,0,0
1155,1137,295,성,38,충달,성충달,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 2 1 4,0,1,1,,0,현감,6,,창녕,창녕,14,,,,성득식,성억,성석연,,신기,신이충,,조,백천,4,1,조원수,조서로,조반,김문상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,2,1,4,,,1,1,1,15,20,,42,1,20,0,0
1156,1138,296,조,13,원복,원복,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 2 2,1,0,0,,6,군사,5,,백천,백천,13,,,,조서로,조반,,,정홍,정사도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,2,2,,,,1,0,0,14,19,,40,1,19,1,0
1157,1139,297,조,13,원립,원립,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 2 3,1,0,0,,8,첨지,3,,백천,백천,13,,,,조서로,조반,,,정홍,정사도,,김,경주,1,,김겸,김수,김천서,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,2,3,,,,1,0,0,14,19,,40,,20,1,0
1158,1140,298,조,13,권,권,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 2 3 1,1,0,0,,7,어모,4,,백천,백천,14,,,,조원립,조서로,조반,,김겸,김수,김천서,남,의령,3,5,남건,,,이종인,이반,이창로,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,2,3,1,,,1,0,0,15,20,,42,1,20,1,0
1159,1141,299,이,4,인,이인,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 2 4,1,1,1,,9,병사,2,,하빈,하빈,13,,,,,,,,,,,조,백천,,1,조서로,조반,,정홍,정사도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"李茵""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,2,4,,,,1,1,1,14,19,,40,,21,1,0
1160,1142,300,조,13,준,조준,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 2 4 1,1,1,1,,0,부사,3,,양주,양주,14,,,,조찬,,,,조대림,조준,조덕유,이,하빈,,2,이인,,,조서로,조반,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,2,4,1,,,1,1,1,15,20,,42,,21,0,0
1161,1143,301,이,4,계동,이계동,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 2 4 1 1,1,1,1,문과,0,급제,7,,,,14,,,,,,,,,,,조,양주,,,조준,조찬,,이인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"李季童""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,2,4,1,1,,1,1,1,15,21,,44,1,21,0,0
1162,1144,302,어,45,세공,어세공,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 2 4 1 2,0,1,1,문과,9,아성군,2,,함종,함종,14,1432,1486,1456,어효첨,어변갑,어연,,박은,박상충,,김,경주,2,,김형손,김세민,김겸,홍령,홍상부,홍징,조,,,,조준,조찬,,이인,,,,,,,,,,,,,,,,,,,,,,,남편쪽 자녀수와 부인쪽 자녀수의 불일치.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,2,4,1,2,,1,1,1,15,21,,44,1,21,1,0
1163,1145,303,조,13,원희,원희,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 2 5,0,0,0,문과,0,지승문원사,3,,백천,백천,13,,,1441,조서로,조반,,,정홍,정사도,,신,영월,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,2,5,,,,1,0,0,14,19,,40,,20,0,0
1164,1146,304,유,53,자한,유자한,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 2 5 1,0,1,1,문과,6,교리,5,,진주,진주,14,,,1460,유양식,,,,기,,,조,백천,2,2,조원희,조서로,조반,신,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,2,5,1,,,1,1,1,15,20,,42,1,20,1,0
1165,1147,305,조,13,평,평,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 2 5 2,1,0,0,문과,5,좌랑,6,,백천,백천,14,,,1465,조원희,조서로,조반,,신,,,권,안동,2,1,권욱,권경온,권수,강보,강안식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,2,5,2,,,1,0,0,15,20,,42,1,20,0,0
1166,1148,306,조,13,女,女,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 2 5 3,0,1,0,,0,,,,백천,백천,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,2,5,3,,,1,1,0,15,20,,42,1,20,0,0
1167,1149,307,조,13,식,식,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 2 5 4,0,0,0,,0,,,,백천,백천,14,,,,조원희,조서로,조반,,신,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,2,5,4,,,1,0,0,15,20,,42,1,20,0,0
1168,1150,308,조,13,원지,원지,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 2 6,0,0,0,문과,0,감정,3,,백천,백천,13,,,1453,조서로,조반,,,정홍,정사도,,이,우봉,2,2,이근계,이순,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,2,6,,,,1,0,0,14,19,,40,,20,0,0
1169,1151,309,이,4,영,이영,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 2 6 1,0,1,1,,5,목사,3,,성주,성주,14,,,,이경화,이사원,,,,,,조,백천,,,조원지,조서로,조반,이근계,이순,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,2,6,1,,,1,1,1,15,20,,42,1,20,0,0
1170,1152,310,조,13,맹준,맹준,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 2 6 2,0,0,0,,5,승사,3,,백천,백천,14,,,,조원지,조서로,조반,,이근계,이순,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,2,6,2,,,1,0,0,15,20,,42,1,20,0,0
1171,1153,311,이,4,원,이원,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 2 6 3,0,1,1,無出仕,9,청풍군,25,2,전주,전주,14,,,,,,,,,,,조,백천,,,조원지,조서로,조반,이근계,이순,,윤,무송,1,1,윤자영,윤판,,윤표,,,,,,,,,,,,,,,,,,,,,,,"李源""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,2,6,3,,,1,1,1,15,20,,42,1,20,1,0
1172,1154,312,조,13,맹걸,맹걸,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 2 6 4,0,0,0,,0,,,,백천,백천,14,,,,조원지,조서로,조반,,이근계,이순,,최,전주,,,최엄,최분,최후,정자원,정연,정홍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,2,6,4,,,1,0,0,15,20,,42,1,20,0,0
1173,1155,313,조,13,원우,원우,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 2 7,0,0,0,,6,군사,5,,백천,백천,13,,,,조서로,조반,,,정홍,정사도,,정,동래,,1,정사,정귀령,,이백인,이량,이계손,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,2,7,,,,1,0,0,14,19,,40,,20,1,0
1174,1156,314,이,4,문,문,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 2 7 1,0,1,1,無出仕,0,황산수,25,,전주,전주,14,,,,이형,이종생,,,유복강,유의,유정현,조,백천,3,1,조원우,조서로,조반,정사,정귀령,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,2,7,1,,,1,1,1,15,20,,42,1,20,0,0
1175,1157,315,정,12,연,연,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3,0,0,0,同時,9,판서,2,,연일,연일,12,1389,1444/07.07.,,정홍,정사도,,,오중화,,,우,단양,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,,,,,1,0,0,13,18,,38,,21,1,0
1176,1158,316,신,41,중주,신중주,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 1,0,1,1,,6,군사,5,,고령,고령,13,,,,신장,신포시,,,정유,,,정,연일,4,2,정연,정홍,정사도,우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,1,,,,1,1,1,14,19,,40,,21,1,0
1177,1159,317,조,13,금,조금,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 1 1,0,1,1,,6,부사,3,,한양,한양,14,,,,,,,,,,,신,고령,4,4,신중주,신장,신포시,정연,정홍,정사도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,1,1,,,1,1,1,15,20,,42,,21,1,0
1178,1160,318,이,4,곤,이곤,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 1 1 1,1,1,1,,0,판관,5,,,,14,,,,,,,,,,,조,한양,1,,조금,,,신중주,신장,신포시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,1,1,1,,1,1,1,15,21,,44,1,21,0,0
1179,1161,319,조,13,경,경,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 1 1 2,0,0,0,,0,참봉,9,,한양,한양,14,,,,조금,,,,신중주,신장,신포시,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,1,1,2,,1,0,0,15,21,,44,1,21,0,0
1180,1162,320,조,13,문숙,문숙,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 1 1 3,0,0,0,,2,집의,3,,한양,한양,14,,,,조금,,,,신중주,신장,신포시,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,1,1,3,,1,0,0,15,21,,44,1,21,0,0
1181,1163,321,조,13,문림,문림,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 1 1 4,1,0,0,,0,,,,한양,한양,14,,,,조금,,,,신중주,신장,신포시,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,1,1,4,,1,0,0,15,21,,44,1,21,0,0
1182,1164,322,신,41,환,환,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 1 2,1,0,0,문과,8,목사,3,,고령,고령,14,,,1457,신중주,신장,신포시,,정연,정홍,정사도,권,안동,2,,권온,권복,권숙,조혼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,1,2,,,1,0,0,15,20,,42,1,20,1,0
1183,1165,323,신,41,회,회,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 1 3,1,0,0,,6,판관,5,,고령,고령,14,,,,신중주,신장,신포시,,정연,정홍,정사도,김,안동,2,3,김자행,,,이맹진,이종덕,이색,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,1,3,,,1,0,0,15,20,,42,1,20,1,0
1184,1166,324,최,15,미,최미,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 1 4,1,1,1,,0,,,,,,14,,,,최암,최천유,,,,,,신,고령,2,1,신중주,신장,신포시,정연,정홍,정사도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,1,4,,,1,1,1,15,20,,42,1,20,0,0
1185,1167,325,신,41,해,해,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 1 5,0,0,0,,4,사정,7,,고령,고령,14,,,,신중주,신장,신포시,,정연,정홍,정사도,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,1,5,,,1,0,0,15,20,,42,1,20,0,0
1186,1168,326,신,41,지,지,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 1 6,1,0,0,,0,성천부사,9,,고령,고령,14,,,,신중주,신장,신포시,,정연,정홍,정사도,허,양천,2,1,허곤,허도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,1,6,,,1,0,0,15,20,,42,1,20,0,0
1187,1169,327,권,1,담,권담,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 2,1,1,1,,0,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,못찾음,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,2,,,,1,1,1,14,19,,40,1,19,0,0
1188,1170,328,정,12,자원,자원,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 3,1,0,0,,8,첨사,3,,연일,연일,13,,,,정연,정홍,정사도,,우,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,3,,,,1,0,0,14,19,,40,,20,1,0
1189,1171,329,최,15,엄,최엄,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 3 1,1,1,1,,0,군수,4,,전주,전주,14,,,,최분,최후,최사의,,이휴,이성중,,정,연일,3,1,정자원,정연,정홍,김중엄,김오문,김구덕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,3,1,,,1,1,1,15,20,,42,1,20,0,0
1190,1172,330,정,12,함,함,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 3 2,1,0,0,,6,첨정,4,,연일,연일,14,,,,정자원,정연,정홍,정사도,김중엄,김오문,김구덕,최,삭녕,2,2,최항,최사유,최윤문,서미성,서의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,3,2,,,1,0,0,15,20,,42,1,20,1,0
1191,1173,331,정,12,혼,혼,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 3 3,0,0,0,,5,현감,6,,연일,연일,14,,,,정자원,정연,정홍,정사도,김중엄,김오문,김구덕,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,3,3,,,1,0,0,15,20,,42,1,20,0,0
1192,1174,332,정,12,자양,자양,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 4,0,0,0,,9,중추,2,,연일,연일,13,,,,정연,정홍,정사도,,우,,,이,평창,1,,이운,이륙,,왕휴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,4,,,,1,0,0,14,19,,40,,21,1,0
1193,1175,333,정,12,부,부,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 4 1,1,0,0,,5,장원,2,,연일,연일,14,,,,정자양,정연,정홍,정사도,이운,이륙,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,4,1,,,1,0,0,15,20,,42,,21,0,0
1194,1176,334,신,41,형,신형,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 4 1 1,0,1,1,문과,0,시정,3,,고령,고령,14,1449,1486,1474,신숙주,신장,신포시,,윤경연,윤회,윤소종,정,연일,3,5,정부,정자양,정연,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,4,1,1,,1,1,1,15,21,,44,1,21,0,0
1195,1177,335,정,12,선,선,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 4 1 2,1,0,0,,0,,,,연일,연일,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,못찾음,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,4,1,2,,1,0,0,15,21,,44,1,21,0,0
1196,1178,336,정,12,女,女,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 4 1 3,0,1,0,,0,,,,연일,연일,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,4,1,3,,1,1,0,15,21,,44,1,21,0,0
1197,1179,337,이,4,용,용,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 5,1,1,1,無出仕,0,안평대군,24,1,전주,전주,13,,,,이도,이방원,이성계,이자춘,심,,,정,연일,2,,정연,정홍,정사도,우,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"李瑢""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,5,,,,1,1,1,14,19,,40,,21,0,0
1198,1180,338,이,4,우의,우의,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 5 1,0,0,0,,0,,,,전주,전주,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,못찾음,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,5,1,,,1,0,0,15,20,,42,,21,0,0
1199,1181,339,이,4,女,女,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 5 1 1,0,1,0,,0,,,,전주,전주,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,못찾음,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,5,1,1,,1,1,0,15,21,,44,1,21,0,0
1200,1182,340,정,12,자제,자제,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 6,1,0,0,음서,9,중추,2,,연일,연일,13,,,,,,,,,,,최,전주,4,1,최후,최사의,최유경,노,,,이,영천,3,1,이순몽,이응,,,,,,,,,,,,,,,,,,,,,,,,,남편쪽 자녀수와 부인쪽 자녀수의 불일치.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,6,,,,1,0,0,14,19,,40,,20,1,0
1201,1183,341,이,4,현,이현,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 6 1,1,1,1,無出仕,0,수춘군,25,2,전주,전주,14,,,,이도,이방원,이성계,이자춘,양경,양천식,양지수,정,연일,,1,정자제,,,최후,최사의,최유경,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"李玹""",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,6,1,,,1,1,1,15,20,,42,1,20,0,0
1202,1184,342,정,12,유,유,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 6 2,1,0,0,,0,참의,3,,연일,연일,14,,,,정자제,,,,최후,최사의,최유경,유,문화,2,,유계문,유관,유안택,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,6,2,,,1,0,0,15,20,,42,1,20,0,0
1203,1185,343,정,12,진,진,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 6 3,1,0,0,,0,참봉,9,,연일,연일,14,,,,정자제,,,,이순몽,이응,,윤,파평,1,1,윤우,윤형,윤규,김중렴,김고,김익달,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,6,3,,,1,0,0,15,20,,42,1,20,0,0
1204,1186,344,정,12,회,회,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 6 4,1,0,0,문과,0,정자,9,,연일,연일,14,1450,,1474,정자제,,,,,,,허,양천,1,,허암,허경,허면,이친,이보,이방원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,6,4,,,1,0,0,15,20,,42,1,20,0,0
1205,1187,345,정,12,수,수,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 6 5,1,0,0,문과,0,군수,4,,연일,연일,14,,,1490,정자제,,,,이순몽,이응,,이,한산,,,이파,이계전,이종선,윤계동,윤향,윤승순,정,해주,,,정흥경,정침,정충석,유식,유지윤,유향,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,6,5,,,1,0,0,15,20,,42,1,20,0,0
1206,1188,346,정,12,자숙,자숙,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 7,0,0,0,음서,0,현감,6,,연일,연일,13,,,,,,,,,,,이,철성,4,2,이대,이원,이강,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,7,,,,1,0,0,14,19,,40,,20,0,0
1207,1189,347,이,4,훈,훈,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 7 1,0,1,1,무출사,0,고림정,25,,전주,전주,14,,,,이친,이보,이방원,이성계,이희,이담,이학림,정,연일,4,4,정자숙,정연,정홍,이대,이원,이강,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,7,1,,,1,1,1,15,20,,42,1,20,0,0
1208,1190,348,정,12,미,미,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 7 2,1,0,0,,0,,,,연일,연일,14,,,,,,,,,,,이,연안,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,7,2,,,1,0,0,15,20,,42,1,20,0,0
1209,1191,349,정,12,순,순,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 7 3,0,0,0,문과,0,판결사,3,,연일,연일,14,1456,1527,1510,,,,,,,,남,의령,2,7,남윤종,남손,,박혼,박서생,박점,심,청송,2,7,심원,심회,,이의구,이점,이화,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,7,3,,,1,0,0,15,20,,42,1,20,0,0
1210,1192,350,정,12,필,필,a 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 2 3 7 4,1,0,0,,0,현령,5,,연일,연일,14,,,,,,,,,,,최,전주,3,1,최간,최흔,최후,이의,이석근,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,2,3,7,4,,,1,0,0,15,20,,42,1,20,0,0
