number,F_C,code_LWJ,last name,last name1,first name,name,string,line,sex,son-in-law,Gov._Exam,Grade,occupational_title,grade2,New_Grade,place of family origin,Final_place of family origin,Final_period,Birth_Year,Death_Year,Date_OT,father,grand_f,great_grand_f,great_great_grand_f,father_of_m,grand_father_of_mother,great_grand_father_of_mother,spouse1_familyname,spouse1_place of family origin,son_by_spouse1,daughter_by_spouse1,father_spouse1,grand_father_spouse1,great_grand_father_spouse1,father_of_mother_spouse1,grand_of_mother_spouse1,great_grand_father_of_mother_spouse1,spouse2_familyname,spouse2_place of family origin,son_by_spouse2,daughter_by_spouse2,father_spouse2,grand_father_spouse2,great_grand_father_spouse2,father_of_mother_spouse2,grand_mother_spouse2,great_grand_mother_spouse2,spouse3_familyname,spouse3_place of family origin,son_by_spouse3,daughter_by_spouse3,father_spouse3,grand_father_spouse3,great_grand_father_spouse3,mother_spouse3,grand_mother_spouse3,great_grand_mother_spouse3,spouse4_familyname,spouse4_place of family origin,son_by_spouse4,daughter_by_spouse4,father_spouse4,grand_father_spouse4,great_grand_father_spouse4,mother_spouse4,grand_mother_spouse4,great_grand_mother_spouse4,note,1g,2g,3g,4g,5g,6g,7g,8g,9g,10g,11g,12g,13g,14g,15g,16g,17g,18g,19g,20g,21g,22g,line,sex,son-in-law,period,generation,duplicates,q,last,When Last,q,q
15,15,11,권,1,위,위,a 1 1 1 1 1 1 1 1 1 1 1,0,0,0,문과,8,판태복시사 한림학사,3,,안동,안동,7,,,,권수평,권중시,권이여,권렴,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,0,0,0,8,11,,23,,22,0,0
16,16,12,권,1,단,단,a 1 1 1 1 1 1 1 1 1 1 1 1,0,0,0,문과,9,찬성사,2,,안동,안동,8,1228,1311,1254,권위,권수평,권중시,권이여,,,,노,교하,1,,노연,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,0,0,0,9,12,,25,,22,0,0
17,17,6054,김,2,궤,김궤,a 1 1 1 1 1 1 1 1 1 1 1 2,0,1,1,,9,복야,2,,,,8,,,,,,,,,,,권,안동,,,권위,권수평,권중시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,,1,1,1,9,12,,25,1,12,0,0
18,18,6055,권,1,인기,인기,a 1 1 1 1 1 1 1 1 1 1 1 3,0,0,0,,7,소윤,4,,안동,안동,8,,,,권위,권수평,권중시,권이여,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,3,,,,,,,,,,,0,0,0,9,12,,25,1,12,0,0
19,19,6056,권,1,영운,영운,a 1 1 1 1 1 1 1 1 1 1 1 4,0,0,0,관직자,0,,,,안동,안동,8,,,,권위,권수평,권중시,권이여,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,4,,,,,,,,,,,0,0,0,9,12,,25,1,12,0,0
20,20,6057,권,1,방기,방기,a 1 1 1 1 1 1 1 1 1 1 1 5,0,0,0,,0,,,,안동,안동,8,,,,권위,권수평,권중시,권이여,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,5,,,,,,,,,,,0,0,0,9,12,,25,1,12,0,0
21,21,6058,권,1,지기,지기,a 1 1 1 1 1 1 1 1 1 1 1 6,0,0,0,,9,복야,2,,안동,안동,8,,,,권위,권수평,권중시,권이여,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,6,,,,,,,,,,,0,0,0,9,12,,25,,13,0,0
22,22,13,권,1,부,부,a 1 1 1 1 1 1 1 1 1 1 1 1 1,0,0,0,문과,10,정승,1,,안동,안동,9,1262,1346,1279,권단,권위,권수평,권중시,,,,유,문화,5,4,유승,유경,유택,홍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"一家九封君, 권부/충선왕의 총애받음/사서집주 출판건의/성리학 시작/사위이제현, 유경/최항의 후원/무인정권의 마지막 권력자",1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,0,0,0,10,13,,27,,22,0,0
23,23,6059,권,1,영,영,a 1 1 1 1 1 1 1 1 1 1 1 6 1,0,0,0,관직자,0,,,,안동,안동,9,,,,권지기,권위,권수평,권중시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,6,1,,,,,,,,,,0,0,0,10,13,,27,1,13,0,0
24,24,6060,권,1,평,평,a 1 1 1 1 1 1 1 1 1 1 1 6 2,0,0,0,관직자,0,,,,안동,안동,9,,,,권지기,권위,권수평,권중시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,6,2,,,,,,,,,,0,0,0,10,13,,27,1,13,0,0
